station,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12
US1CALK0010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.3,13.7,5.1,15.0
US1CASN0015,27.5,11.4,57.2,38.7,4.1,42.7,0.0,0.0,20.8,2.3,0.0,15.7
US1CASN0098,38.4,22.9,32.3,72.4,2.3,83.3,0.0,0.3,13.7,8.1,89.5,22.6
US1CALK0008,30.7,5.6,41.5,24.9,3.0,5.4,0.0,0.0,6.6,0.0,27.4,7.6
US1CASN0079,21.3,11.7,26.2,47.3,7.4,37.7,0.0,0.0,17.0,0.0,29.4,7.9
USC00041806,16.2,0.5,9.2,1.0,0.0,0.0,0.0,0.0,4.1,0.0,0.0,0.3
USC00041806,16.2,0.5,9.2,1.0,0.0,0.0,0.0,0.0,4.1,0.0,0.0,0.3
US1CASN0029,32.5,10.4,56.9,41.3,5.9,27.8,0.0,0.0,10.2,2.5,25.7,10.2
US1CALK0004,35.8,10.3,44.3,2.8,0.0,1.8,0.0,0.0,4.3,0.0,32.2,0.0
US1CASN0078,32.2,10.7,61.6,34.1,5.8,0.5,0.0,0.0,11.7,1.5,27.2,12.2
USC00041806,16.2,0.5,9.2,1.0,0.0,0.0,0.0,0.0,4.1,0.0,0.0,0.3
USC00041806,16.2,0.5,9.2,1.0,0.0,0.0,0.0,0.0,4.1,0.0,0.0,0.3
USC00046826,15.3,11.1,20.3,29.3,5.4,14.3,0.0,0.0,15.5,0.0,22.1,9.7
US1CALK0010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.3,13.7,5.1,15.0
US1CALK0004,35.8,10.3,44.3,2.8,0.0,1.8,0.0,0.0,4.3,0.0,32.2,0.0
US1CALK0006,39.6,9.4,64.8,33.3,0.0,11.0,0.0,0.0,20.8,0.0,23.7,16.8
USC00040212,31.1,13.7,53.3,27.9,3.3,29.7,0.0,0.0,26.5,0.0,23.9,13.3
US1CANP0007,27.7,8.4,41.1,39.9,0.0,26.4,0.0,0.0,13.4,0.0,16.5,19.3
USC00046074,19.0,8.9,23.8,30.3,8.6,17.3,0.0,0.0,17.0,0.0,28.7,18.0
USC00046074,19.0,8.9,23.8,30.3,8.6,17.3,0.0,0.0,17.0,0.0,28.7,18.0
USC00041806,16.2,0.5,9.2,1.0,0.0,0.0,0.0,0.0,4.1,0.0,0.0,0.3
US1CANP0003,25.9,9.7,23.2,34.3,0.0,31.0,0.0,0.0,16.0,1.3,26.7,15.0
US1CASN0015,27.5,11.4,57.2,38.7,4.1,42.7,0.0,0.0,20.8,2.3,0.0,15.7
USC00049111,39.2,15.7,43.0,0.3,0.0,0.0,0.0,0.0,0.3,10.0,8.4,8.2
USC00040790,71.6,10.9,20.6,30.7,5.4,2.5,0.0,0.0,5.6,7.7,13.7,16.0
USC00049111,39.2,15.7,43.0,0.3,0.0,0.0,0.0,0.0,0.3,10.0,8.4,8.2
US1CAMT0011,53.3,23.1,30.5,18.5,1.0,1.8,0.0,0.0,7.1,5.6,15.0,21.3
USC00043402,0.0,0.0,20.1,0.0,0.8,0.0,0.0,0.0,0.0,1.3,23.7,0.5
USW00003154,17.8,18.1,0.0,0.8,10.4,0.0,0.0,0.0,0.0,16.5,28.4,4.1
USS0020H02S,25.2,20.1,25.3,25.2,53.3,27.8,7.6,10.1,38.1,7.5,20.2,15.2
USS0020H06S,83.8,35.4,43.1,76.1,63.5,35.5,5.0,15.0,58.2,12.5,40.5,25.3
USC00049053,11.6,15.3,7.0,19.2,30.3,30.6,0.0,7.6,36.1,1.7,8.5,4.4
