station,lat,lon,elev,name
US1CANP0003,38.5764,-122.578,106.1,CA CALISTOGA 0.4 SSE                           
US1CANP0006,38.2102,-122.2172,97.2,CA AMERICAN CANYON 3.5 NE                      
US1CANP0007,38.4891,-122.4623,75.6,CA ST. HELENA 1.1 S                            
US1CANP0008,38.1694,-122.2605,11.3,CA AMERICAN CANYON 0.3 S                       
US1CANV0001,39.3067,-121.0399,728.5,CA NEVADA CITY 3.4 NNW                         
US1CANV0003,39.3174,-120.4517,1839.5,CA KINGVALE 1.3 WSW                            
US1CANV0006,39.1494,-121.0419,704.7,CA GRASS VALLEY 5.0 S                          
US1CANV0010,39.1043,-121.0565,656.5,CA ALTA SIERRA 1.3 S                           
US1CANV0011,39.1059,-121.0893,511.1,CA ALTA SIERRA 2.3 WSW                         
US1CANV0014,39.0322,-121.0774,480.4,CA LAKE OF THE PINES 1.0 WSW                   
US1CANV0016,39.1198,-121.0599,702.0,CA ALTA SIERRA 0.4 WSW                         
US1CANV0022,39.2683,-121.1211,604.1,CA NEVADA CITY 5.4 W                           
US1CANV0023,39.1034,-121.0579,627.0,CA ALTA SIERRA 1.4 SSW                         
US1CANV0028,39.2288,-121.0595,813.5,CA GRASS VALLEY 0.5 NNW                        
US1CANV0032,39.2609,-121.1354,647.4,CA NEVADA CITY 6.1 W                           
US1CANV0033,39.0535,-121.1456,451.1,CA LAKE OF THE PINES 4.7 WNW                   
US1CANV0034,39.1863,-120.993,848.6,CA GRASS VALLEY 4.2 SE                         
US1CANV0035,39.2382,-121.0463,848.0,CA GRASS VALLEY 1.3 NNE                        
US1CANV0036,39.1943,-121.0917,711.4,CA GRASS VALLEY 2.7 SW                         
US1CAOR0001,33.8291,-117.77,247.2,CA ORANGE 3.5 ENE                              
US1CAOR0005,33.5285,-117.7203,145.4,CA LAGUNA NIGUEL 0.9 W                         
US1CAOR0006,33.7455,-117.6199,424.9,CA SILVERADO 1.0 ESE                           
US1CAOR0009,33.4977,-117.7387,59.1,CA LAGUNA BEACH 3.2 SSE                        
US1CAOR0011,33.7314,-117.8713,24.7,CA SANTA ANA 0.7 ESE                           
US1CAOR0016,33.5894,-117.8652,25.6,CA NEWPORT BEACH 3.1 ESE                       
US1CAOR0017,33.6239,-117.6275,310.3,CA MISSION VIEJO 1.6 ENE                       
US1CAOR0019,33.5954,-117.6442,214.6,CA MISSION VIEJO 1.3 SSE                       
US1CAOR0021,33.8632,-117.7918,90.8,CA ANAHEIM 4.9 ENE                             
US1CAOR0022,33.835,-117.7621,268.5,CA ANAHEIM HILLS 1.1 SE                        
US1CAOR0023,33.689,-117.664,318.5,CA FOOTHILL RANCH 0.3 NW                       
US1CAOR0025,33.6399,-117.8381,58.8,CA IRVINE 2.9 WSW                              
