Year,Fire Name,Alarm Date,Containment Date,Duration (Days),Cause,Acres,Area,Perimeter
2022,MILL,2022-09-02,2022-09-11,9.0,Unknown / Unidentified,3939.382,28423375.5351563,85721.1757998258
2022,WILDERNESS,2022-03-07,2022-03-07,0.0,Debris,1.894144,13736.8203125,735.294527110989
2022,WHITLOW,2022-03-25,2022-03-26,1.0,Unknown / Unidentified,9.162147,65715.125,1461.0374407524
2022,MEAMBER,2022-07-31,2022-08-01,1.0,Lightning,62.63028,454616.75,4135.15269373211
2022,EVERGREEN,2022-03-12,2022-03-12,0.0,Unknown / Unidentified,12.58272,90709.8046875,1712.72081967399
2022,EMPIRE,2022-08-01,2022-08-02,1.0,Lightning,3.141882,22970.37109375,1020.9574523232
2022,RIDGE,2022-06-25,2022-07-08,13.0,Unknown / Unidentified,10.26019,73656.26953125,2147.68581560622
2022,COYOTE,2022-09-07,2022-09-08,1.0,Lightning,296.9517,2166330.890625,7277.6216104655
2022,GULCH,2022-03-12,2022-03-14,2.0,Unknown / Unidentified,113.4316,828753.05859375,5989.00652560721
2022,SLATE 2,2022-07-21,2022-07-21,0.0,Railroad,63.70885,415112.9765625,3527.71819870502
2022,WOODS,2022-09-01,2022-09-03,2.0,Unknown / Unidentified,22.1701,144602.87109375,2503.23819232817
2022,HOLLISTER,2022-03-12,2022-03-17,5.0,Arson,123.7686,739058.91015625,6803.87840924281
2022,BLOOMFIELD,2022-03-02,2022-03-02,0.0,Escaped Prescribed Burn,39.55224,268347.48828125,2844.62178281133
2022,BRANDIE,2022-06-11,2022-06-19,8.0,Equipment Use,71.87849,486724.83203125,3673.67467758328
2022,NISEMAN,2022-06-18,2022-06-21,3.0,Equipment Use,17.06631,114730.81640625,1556.53694736128
2022,SHERIDAN,2022-06-24,2022-06-25,1.0,Vehicle,55.71469,373586.8046875,4665.13168411247
2022,MIRABELLE,2022-06-27,2022-06-28,1.0,Structure,18.67016,124351.70703125,1571.06323946521
2022,RICES,2022-06-28,2022-07-13,15.0,Structure,920.9178,6236026.67578125,15716.3821482273
2022,BUTTERFIELD,2022-07-07,2022-07-13,6.0,Unknown / Unidentified,12.36755,83773.92578125,1395.4577515607
2022,BAYBERRY,2022-07-08,2022-07-18,10.0,Arson,30.11021,203762.59375,1938.86570705069
2022,PORTER,2022-07-09,2022-07-12,3.0,Equipment Use,166.603,1118576.890625,6024.87010336502
2022,RIOSA,2022-07-17,2022-07-17,0.0,Smoking,37.56129,251954.578125,2741.03040212412
2022,APPLE,2022-07-27,2022-08-02,6.0,Powerline,41.09785,278075.35546875,2694.36149939163
2022,SPENCEVILLE,2022-07-27,2022-07-31,4.0,Miscellaneous,21.81922,146961.2734375,1658.17795820691
2022,BEAR,2022-07-28,2022-07-30,2.0,Equipment Use,9.674923,65133.41796875,1078.81625774451
2022,OAK,2022-08-15,2022-09-15,31.0,Vehicle,24.02003,161420.15625,2745.58731319096
2022,OWL,2022-08-20,2022-08-31,11.0,Vehicle,49.95041,337873.4921875,2685.55288176285
2022,STILL,2022-08-27,2022-09-03,7.0,Equipment Use,43.21048,290414.66015625,2743.5569956408
2022,AIRPORT,2022-07-30,2022-07-30,0.0,Unknown / Unidentified,38.26443,256147.12890625,2141.95725589314
2022,WINDING,2022-07-18,2022-07-29,11.0,Powerline,81.7844,553723.7578125,5069.47611234109
